# host=127.0.0.1
# port=8080
# clients=100
# requestsPerClient=20
# warmupDiscarded=20
# elapsedSec=11.189765
# throughput=178.734763
# p50Ms=558
# p95Ms=575
timestamp_ms,client_id,req_index,global_req_no,latency_ms,ok
1771319131430,0,12,1258,545,true
1771319131431,50,12,1262,545,true
1771319131431,23,12,1260,545,true
1771319131432,48,12,1257,547,true
1771319131433,68,12,1261,547,true
1771319131434,62,12,1263,535,true
1771319131435,26,12,1264,536,true
1771319131437,44,12,1265,537,true
1771319131458,13,12,1271,540,true
1771319131458,65,12,1267,542,true
1771319131458,9,12,1268,542,true
1771319131458,4,12,1270,541,true
1771319131458,79,12,1266,543,true
1771319131458,7,12,1272,541,true
1771319131458,39,12,1269,542,true
1771319131509,63,12,1274,530,true
1771319131509,11,12,1273,530,true
1771319131540,80,12,1281,543,true
1771319131540,52,12,1280,543,true
1771319131540,30,12,1279,544,true
1771319131540,1,12,1277,545,true
1771319131540,41,12,1278,545,true
1771319131540,95,12,1275,545,true
1771319131540,88,12,1276,546,true
1771319131540,38,12,1282,545,true
1771319131540,91,12,1284,532,true
1771319131540,96,12,1283,532,true
1771319131540,6,12,1285,532,true
1771319131561,47,12,1286,536,true
1771319131561,20,12,1287,536,true
1771319131561,94,12,1288,536,true
1771319131561,64,12,1289,536,true
1771319131564,45,12,1290,536,true
1771319131564,87,12,1291,536,true
1771319131565,86,12,1292,537,true
1771319131616,97,12,1294,531,true
1771319131616,83,12,1293,531,true
1771319131646,82,12,1295,547,true
1771319131646,42,12,1296,547,true
1771319131646,33,13,1297,547,true
1771319131646,81,12,1298,545,true
1771319131646,84,12,1299,544,true
1771319131648,12,13,1300,544,true
1771319131653,67,13,1302,535,true
1771319131654,27,12,1301,548,true
1771319131654,28,12,1305,538,true
1771319131654,85,13,1304,539,true
1771319131654,99,13,1303,539,true
1771319131674,92,13,1312,536,true
1771319131674,98,13,1311,537,true
1771319131674,14,13,1310,537,true
1771319131674,78,13,1309,538,true
1771319131674,53,13,1308,538,true
